Metric,Ataxia_NG,Ataxia_NG_CI95,Ataxia_RG,Ataxia_RG_CI95,PD_NG,PD_NG_CI95,PD_RG,PD_RG_CI95
Schrittzeit,0.919,"[0.850, 0.960]",0.539,"[0.260, 0.730]",0.808,"[0.630, 0.910]",0.753,"[0.530, 0.880]"
SchrittzeitSD,0.699,"[0.490, 0.830]",0.463,"[0.170, 0.680]",0.697,"[0.440, 0.850]",0.237,"[-0.150, 0.560]"
DoubleSupport%,0.906,"[0.830, 0.950]",0.907,"[0.830, 0.950]",0.829,"[0.660, 0.920]",0.93,"[0.850, 0.970]"
DoubleSupport%SD,0.494,"[0.210, 0.700]",0.653,"[0.420, 0.810]",0.398,"[0.030, 0.670]",0.105,"[-0.280, 0.460]"
Kadenz,0.916,"[0.840, 0.960]",0.796,"[0.640, 0.890]",0.81,"[0.630, 0.910]",0.836,"[0.670, 0.920]"
KadenzSD,0.843,"[0.720, 0.920]",0.685,"[0.470, 0.830]",0.236,"[-0.150, 0.560]",0.239,"[-0.140, 0.560]"
Geschwindigkeit,0.93,"[0.870, 0.960]",0.439,"[0.140, 0.670]",0.84,"[0.680, 0.920]",0.534,"[0.210, 0.760]"
GeschwindigkeitSD,0.758,"[0.580, 0.870]",0.408,"[0.100, 0.650]",0.317,"[-0.060, 0.620]",0.268,"[-0.110, 0.580]"
FußrotationR,0.965,"[0.930, 0.980]",0.919,"[0.850, 0.960]",0.956,"[0.910, 0.980]",0.971,"[0.940, 0.990]"
FußrotationR_SD,0.764,"[0.590, 0.870]",0.274,"[-0.050, 0.550]",0.583,"[0.270, 0.780]",0.469,"[0.120, 0.720]"
FußrotationL,0.965,"[0.930, 0.980]",0.94,"[0.890, 0.970]",0.965,"[0.930, 0.980]",0.965,"[0.930, 0.980]"
FußrotationL_SD,0.754,"[0.570, 0.860]",0.787,"[0.620, 0.890]",0.639,"[0.350, 0.820]",0.418,"[0.060, 0.680]"
Schrittbreite,0.93,"[0.870, 0.960]",0.93,"[0.870, 0.960]",0.889,"[0.770, 0.950]",0.94,"[0.880, 0.970]"
SchrittbreiteSD,0.804,"[0.650, 0.890]",0.761,"[0.580, 0.870]",0.69,"[0.430, 0.840]",0.765,"[0.550, 0.890]"
