Metric,Ataxia_NG,Ataxia_NG_CI95,Ataxia_RG,Ataxia_RG_CI95,PD_NG,PD_NG_CI95,PD_RG,PD_RG_CI95
Schrittzeit,0.926,"[0.840, 0.970]",0.548,"[0.210, 0.770]",0.788,"[0.550, 0.910]",0.614,"[0.250, 0.830]"
SchrittzeitSD,0.561,"[0.230, 0.780]",0.495,"[0.140, 0.740]",0.736,"[0.450, 0.890]",0.164,"[-0.280, 0.560]"
DoubleSupport%,0.891,"[0.780, 0.950]",0.887,"[0.760, 0.950]",0.852,"[0.670, 0.940]",0.931,"[0.840, 0.970]"
DoubleSupport%SD,0.446,"[0.080, 0.710]",0.708,"[0.450, 0.860]",0.817,"[0.600, 0.920]",0.111,"[-0.330, 0.520]"
Kadenz,0.926,"[0.840, 0.970]",0.88,"[0.750, 0.950]",0.796,"[0.560, 0.910]",0.658,"[0.320, 0.850]"
KadenzSD,0.796,"[0.600, 0.900]",0.745,"[0.510, 0.880]",0.572,"[0.190, 0.800]",0.306,"[-0.140, 0.650]"
Geschwindigkeit,0.924,"[0.840, 0.970]",0.409,"[0.030, 0.690]",0.857,"[0.680, 0.940]",0.49,"[0.080, 0.760]"
GeschwindigkeitSD,0.769,"[0.550, 0.890]",0.404,"[0.030, 0.680]",0.54,"[0.150, 0.790]",0.124,"[-0.320, 0.530]"
FußrotationR,0.949,"[0.890, 0.980]",0.931,"[0.850, 0.970]",0.941,"[0.860, 0.980]",0.967,"[0.920, 0.990]"
FußrotationR_SD,0.745,"[0.510, 0.880]",0.361,"[-0.030, 0.660]",0.594,"[0.220, 0.820]",0.567,"[0.190, 0.800]"
FußrotationL,0.96,"[0.910, 0.980]",0.953,"[0.900, 0.980]",0.961,"[0.910, 0.980]",0.946,"[0.870, 0.980]"
FußrotationL_SD,0.775,"[0.560, 0.890]",0.702,"[0.440, 0.860]",0.623,"[0.270, 0.830]",0.459,"[0.040, 0.740]"
Schrittbreite,0.93,"[0.850, 0.970]",0.924,"[0.840, 0.970]",0.882,"[0.730, 0.950]",0.926,"[0.830, 0.970]"
SchrittbreiteSD,0.839,"[0.680, 0.920]",0.74,"[0.500, 0.880]",0.627,"[0.270, 0.830]",0.695,"[0.380, 0.870]"
