Metric,Ataxia_NG,Ataxia_NG_CI95,Ataxia_RG,Ataxia_RG_CI95,PD_NG,PD_NG_CI95,PD_RG,PD_RG_CI95
AvgLFstancetime,0.469,"[0.100, 0.720]",0.779,"[0.570, 0.890]",0.77,"[0.490, 0.910]",0.679,"[0.330, 0.870]"
AvgLFswingtime,0.885,"[0.760, 0.950]",0.901,"[0.790, 0.950]",0.786,"[0.520, 0.910]",0.632,"[0.260, 0.840]"
AvgRFstancetime,0.457,"[0.090, 0.720]",0.705,"[0.450, 0.860]",0.318,"[-0.150, 0.670]",0.761,"[0.480, 0.900]"
AvgRFswingtime,0.733,"[0.490, 0.870]",0.834,"[0.670, 0.920]",0.54,"[0.120, 0.800]",0.597,"[0.200, 0.830]"
VariabilityLFstancetime,0.444,"[0.070, 0.710]",0.282,"[-0.110, 0.600]",0.389,"[-0.070, 0.720]",0.575,"[0.170, 0.820]"
VariabilityLFswingtime,0.704,"[0.440, 0.860]",0.621,"[0.320, 0.810]",0.813,"[0.570, 0.930]",0.645,"[0.280, 0.850]"
VariabilityRFstancetime,0.298,"[-0.100, 0.610]",0.253,"[-0.140, 0.580]",0.126,"[-0.340, 0.550]",0.016,"[-0.430, 0.470]"
VariabilityRFswingtime,0.75,"[0.510, 0.880]",0.696,"[0.430, 0.850]",0.551,"[0.140, 0.800]",0.418,"[-0.040, 0.730]"
AsymmetryStancetime,0.372,"[-0.010, 0.660]",-0.181,"[-0.520, 0.210]",0.128,"[-0.340, 0.550]",0.191,"[-0.280, 0.590]"
AsymmetrySwingstime,0.691,"[0.420, 0.850]",0.344,"[-0.040, 0.640]",0.648,"[0.280, 0.850]",-0.031,"[-0.470, 0.430]"
total%swingtime,0.539,"[0.200, 0.770]",0.894,"[0.780, 0.950]",0.619,"[0.240, 0.840]",0.771,"[0.490, 0.910]"
total%stancetime,0.539,"[0.200, 0.770]",0.894,"[0.780, 0.950]",0.619,"[0.240, 0.840]",0.771,"[0.490, 0.910]"
doublesupporttime,0.643,"[0.130, 0.890]",0.932,"[0.860, 0.970]",0.749,"[0.450, 0.900]",0.857,"[0.660, 0.940]"
AvgInterStepTime,0.847,"[0.690, 0.930]",0.884,"[0.760, 0.950]",0.777,"[0.510, 0.910]",0.661,"[0.300, 0.860]"
VarianceInterStepTime,-0.112,"[-0.470, 0.290]",0.099,"[-0.290, 0.460]",0.059,"[-0.400, 0.500]",0.411,"[-0.040, 0.730]"
Frequency,0.837,"[0.670, 0.920]",0.921,"[0.830, 0.960]",0.749,"[0.450, 0.900]",0.681,"[0.340, 0.870]"
VarianceCOMy,0.177,"[-0.220, 0.530]",0.053,"[-0.330, 0.420]",0.138,"[-0.330, 0.560]",0.298,"[-0.170, 0.660]"
speed,0.808,"[0.620, 0.910]",0.854,"[0.700, 0.930]",0.712,"[0.390, 0.880]",0.82,"[0.590, 0.930]"
Avgstridelength,0.79,"[0.580, 0.900]",0.893,"[0.780, 0.950]",0.649,"[0.280, 0.850]",0.876,"[0.710, 0.950]"
Variancestridelength,0.31,"[-0.080, 0.620]",0.177,"[-0.210, 0.520]",0.287,"[-0.180, 0.650]",0.615,"[0.230, 0.830]"
Variabilitystridelength,0.594,"[0.270, 0.800]",0.476,"[0.120, 0.720]",0.325,"[-0.140, 0.680]",0.695,"[0.360, 0.870]"
Asymmetrystridelength,0.356,"[-0.030, 0.650]",-0.069,"[-0.430, 0.320]",-0.034,"[-0.470, 0.420]",0.545,"[0.130, 0.800]"
Avgsteplength,0.804,"[0.610, 0.910]",0.565,"[0.240, 0.780]",0.341,"[-0.120, 0.690]",0.856,"[0.660, 0.940]"
Variancesteplength,0.163,"[-0.230, 0.520]",0.121,"[-0.270, 0.480]",0.088,"[-0.370, 0.520]",-0.051,"[-0.490, 0.410]"
Variabilitysteplength,0.374,"[-0.010, 0.660]",0.378,"[0.000, 0.660]",0.26,"[-0.210, 0.640]",0.29,"[-0.180, 0.660]"
Avgstepwidth,0.532,"[0.190, 0.760]",0.536,"[0.200, 0.760]",0.382,"[-0.080, 0.710]",0.128,"[-0.340, 0.550]"
Variancestepwidth,0.108,"[-0.290, 0.470]",-0.07,"[-0.430, 0.320]",0.361,"[-0.100, 0.700]",0.124,"[-0.340, 0.550]"
Variabilitystepwidth,0.333,"[-0.060, 0.640]",0.079,"[-0.310, 0.440]",-0.344,"[-0.690, 0.130]",0.24,"[-0.230, 0.620]"
AvgLFmaxheight,0.856,"[0.700, 0.930]",0.808,"[0.620, 0.910]",0.953,"[0.880, 0.980]",0.918,"[0.800, 0.970]"
AvgRFmaxheight,0.831,"[0.660, 0.920]",0.866,"[0.730, 0.940]",0.842,"[0.630, 0.940]",0.793,"[0.540, 0.920]"
VariabilityLFmaxheight,0.334,"[-0.060, 0.640]",0.262,"[-0.130, 0.580]",0.334,"[-0.130, 0.680]",0.066,"[-0.390, 0.500]"
VariabilityRFmaxheight,0.304,"[-0.090, 0.620]",0.489,"[0.140, 0.730]",0.247,"[-0.230, 0.630]",0.553,"[0.140, 0.800]"
AsymmetryFmaxheight,0.262,"[-0.140, 0.590]",0.638,"[0.340, 0.820]",0.084,"[-0.380, 0.520]",0.568,"[0.160, 0.810]"
